"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng","geolocation_city","geolocation_state"
"1048","-23.547448918662464","-46.64016924063704","são paulo","SP"
"1010","-23.547806958346342","-46.63612181853806","sao paulo","SP"
"1020","-23.55253336164808","-46.62960898251487","sao paulo","SP"
"1036","-23.541700023861782","-46.64131782056096","sao paulo","SP"
"1003","-23.54903244546711","-46.63531311226845","sao paulo","SP"
"1013","-23.547325128224376","-46.63418378613892","sao paulo","SP"
"1045","-23.54230306549716","-46.64280268887412","sao paulo","SP"
"1013","-23.547686322234377","-46.6341397692307","são paulo","SP"
"1046","-23.54608112703553","-46.64482029837157","sao paulo","SP"
"1046","-23.54612896641469","-46.64295148361138","sao paulo","SP"
"1042","-23.544667372468112","-46.64066942714524","são paulo","SP"
"1009","-23.546340513734236","-46.63623850320264","sao paulo","SP"
"1050","-23.549107326677785","-46.644104604074144","são paulo","SP"
"1001","-23.54929199999999","-46.633559478233785","sao paulo","SP"
